Symbol	Name	Last Trade	Change	Volume
RDSA.L	Royal Dutch Shell plc	1,767.00 5:17AM EDT	Down 26.00 (1.45%)	954,664
RDSB.L	Royal Dutch Shell plc	1,786.00 5:17AM EDT	Down 26.00 (1.43%)	578,324
REL.L	RELX PLC	1,086.00 5:17AM EDT	Up 2.00 (0.18%)	390,826
RIO.L	Rio Tinto plc	2,400.00 5:17AM EDT	Down 45.00 (1.84%)	714,461
RMG.L	Royal Mail plc	473.59 5:15AM EDT	Down 2.71 (0.57%)	451,039
RR.L	Rolls Royce Holdings plc	788.33 5:17AM EDT	Down 8.17 (1.03%)	604,327
RRS.L	Randgold Resources Limited	3,991.00 5:16AM EDT	Up 8.00 (0.20%)	88,073
RSA.L	RSA Insurance Group plc	509.50 5:15AM EDT	Up 1.50 (0.30%)	485,504
SAB.L	SABMiller plc	3,287.00 5:17AM EDT	Down 10.00 (0.30%)	270,177
SBRY.L	J Sainsbury plc	253.70 5:16AM EDT	Up 0.30 (0.12%)	1,358,325
SDR.L	Schroders plc	3,001.00 5:14AM EDT	Up 1.00 (0.03%)	32,951
SGE.L	Sage Group plc	525.50 5:15AM EDT	Down 0.50 (0.10%)	171,424
SHP.L	Shire plc	5,234.75 5:16AM EDT	Up 74.75 (1.45%)	268,378
SKY.L	SKY	1,087.00 5:16AM EDT	Up 3.00 (0.28%)	169,088
SL.L	Standard Life plc	439.00 5:17AM EDT	Up 1.20 (0.27%)	356,477
SMIN.L	Smiths Group plc	1,166.00 5:15AM EDT	Down 2.00 (0.17%)	111,207
SN.L	Smith & Nephew plc	1,192.70 5:13AM EDT	Up 1.70 (0.14%)	588,447
SPD.L	Sports Direct International plc	804.00 5:16AM EDT	0.00 (0.00%)	82,591
SSE.L	SSE plc	1,530.90 5:16AM EDT	Down 5.10 (0.33%)	368,160
STAN.L	Standard Chartered PLC	847.70 5:17AM EDT	Down 4.80 (0.56%)	1,086,627
STJ.L	St. James's Place plc	965.00 5:16AM EDT	0.00 (0.00%)	598,595
SVT.L	Severn Trent Plc	2,179.00 5:14AM EDT	Down 5.00 (0.23%)	51,982
TPK.L	Travis Perkins plc	2,114.00 5:15AM EDT	Down 5.00 (0.24%)	65,342
TSCO.L	Tesco PLC	201.50 5:17AM EDT	Down 0.70 (0.35%)	2,891,125
TUI.L	TUI AG	1,175.00 5:17AM EDT	Down 6.00 (0.51%)	179,764
TW.L	Taylor Wimpey plc	203.80 5:17AM EDT	Down 1.20 (0.59%)	3,502,828
ULVR.L	Unilever plc	2,780.00 5:16AM EDT	Down 20.00 (0.71%)	423,178
UU.L	United Utilities Group PLC	896.50 5:16AM EDT	Down 1.50 (0.17%)	159,129
WEIR.L	The Weir Group PLC	1,422.20 5:16AM EDT	Down 20.80 (1.44%)	114,642
WOS.L	Wolseley plc	4,291.00 5:16AM EDT	Down 9.00 (0.21%)	52,705
WPP.L	WPP plc	1,425.00 5:15AM EDT	Up 2.00 (0.14%)	585,052
WTB.L	Whitbread PLC	5,110.00 5:16AM EDT	Down 35.00 (0.68%)	64,166
